Age Range,SN,Price
"(8, 12]",Iskjaskst81,
"(8, 12]",Iskosia90,
"(8, 12]",Iskosian40,
"(8, 12]",Iskossasda43,
"(8, 12]",Isri34,
"(8, 12]",Isty55,
"(8, 12]",Isurria36,
"(8, 12]",Isursti83,
"(8, 12]",Isursuir31,
"(8, 12]",Ithergue48,
"(8, 12]",Itheria73,
"(8, 12]",Jeyciman68,
"(8, 12]",Jiskadarst60,
"(8, 12]",Jiskassa76,
"(8, 12]",Jiskimsda56,
"(8, 12]",Jiskimya77,
"(8, 12]",Jiskirran77,
"(8, 12]",Jiskjask60,
"(8, 12]",Jiskjask80,4.19
"(8, 12]",Jiskjask85,
"(8, 12]",Jiskossa61,
"(8, 12]",Laedallo55,
"(8, 12]",Lalossa38,
"(8, 12]",Lamil79,
"(8, 12]",Lassadarsda57,
"(8, 12]",Lassassasda30,3.54
"(8, 12]",Lassassast73,
"(8, 12]",Lassilsala30,
"(8, 12]",Lassimla92,
"(8, 12]",Lassirrasda85,
"(8, 12]",Lassjask63,
"(8, 12]",Lassjaskan73,
"(8, 12]",Layjask75,
"(8, 12]",Leetirraya83,
"(8, 12]",Leyirra83,
"(8, 12]",Liawista80,
"(8, 12]",Lirtassa52,
"(8, 12]",Lirtassan78,
"(8, 12]",Lirtastan49,
"(8, 12]",Lirtastsda29,
"(8, 12]",Lirtastsya71,
"(8, 12]",Lirtilsa71,
"(8, 12]",Lirtilsa72,
"(8, 12]",Lirtim36,
"(8, 12]",Lirtimst73,
"(8, 12]",Lirtirra37,
"(8, 12]",Lirtirra81,1.56
"(8, 12]",Lirtistanya48,
"(8, 12]",Lirtosia63,
"(8, 12]",Lirtossa60,
"(8, 12]",Lirtossa84,3.24
"(8, 12]",Lisadar44,
"(8, 12]",Lisasi93,
"(8, 12]",Lisassa64,
"(8, 12]",Lisassala98,
"(8, 12]",Lisassasda39,
"(8, 12]",Lisassasta50,
"(8, 12]",Lisast87,
"(8, 12]",Lisast98,
"(8, 12]",Lisico81,4.19
"(8, 12]",Lisilsa62,
"(8, 12]",Lisim51,
"(8, 12]",Lisim78,
"(8, 12]",Lisiriya82,
"(8, 12]",Lisirra25,
"(8, 12]",Lisirra58,
"(8, 12]",Lisirra87,
"(8, 12]",Lisista27,
"(8, 12]",Lisista54,
"(8, 12]",Lisista63,
"(8, 12]",Lisjaskan36,3.36
"(8, 12]",Lisjaskya84,
"(8, 12]",Lisopela58,
"(8, 12]",Lisosia66,
"(8, 12]",Lisosia93,
"(8, 12]",Lisossa25,
"(8, 12]",Lisossa46,
"(8, 12]",Lisossala30,
"(8, 12]",Lisossanya98,
"(8, 12]",Lisotesta51,
"(8, 12]",Lisovynya38,
"(8, 12]",Malarrian73,
"(8, 12]",Malil90,
"(8, 12]",Malon70,
"(8, 12]",Maluncil97,
"(8, 12]",Malunil62,
"(8, 12]",Maradaran90,
"(8, 12]",Maradarnya40,
"(8, 12]",Marassa62,
"(8, 12]",Marast30,
"(8, 12]",Maridisya31,
"(8, 12]",Marilsa69,
"(8, 12]",Marilsanya48,
"(8, 12]",Marilsasya33,
"(8, 12]",Marim28,
"(8, 12]",Marirrasta50,
"(8, 12]",Marjask87,
"(8, 12]",Marokian45,
"(8, 12]",Maropast28,
"(8, 12]",Marughi89,
"(8, 12]",Marundi65,
"(8, 12]",Marynde90,
"(8, 12]",Meosridil82,
"(8, 12]",Mindadaran26,
"(8, 12]",Mindesi74,
"(8, 12]",Mindetosya30,
"(8, 12]",Mindilsa34,
"(8, 12]",Mindilsa60,
"(8, 12]",Mindimnya67,
"(8, 12]",Mindirranya33,
"(8, 12]",Mindista32,
"(8, 12]",Mindjasksya61,
"(8, 12]",Mindossa76,
"(8, 12]",Minduli80,
"(8, 12]",Minduri31,
"(8, 12]",Nitherian58,
"(8, 12]",Palatyon26,
"(8, 12]",Palyon91,
"(8, 12]",Peorith44,
"(8, 12]",Phaedasurap84,
"(8, 12]",Phaedue89,
"(8, 12]",Phaelap26,
"(8, 12]",Phaena87,
"(8, 12]",Phaestycal84,
"(8, 12]",Pheodai94,
"(8, 12]",Pheodaisun84,
"(8, 12]",Pheosrinudeu70,
"(8, 12]",Pheosurllorin41,
"(8, 12]",Pheulidil31,
"(8, 12]",Pheusrical25,
"(8, 12]",Pheutherin27,
"(8, 12]",Phiallylis33,
"(8, 12]",Phiarithdeu40,
"(8, 12]",Philodil43,
"(8, 12]",Phiristi62,
"(8, 12]",Phistym51,
"(8, 12]",Phistyn52,
"(8, 12]",Phyali88,
"(8, 12]",Poshilsa82,
"(8, 12]",Qarirwen82,
"(8, 12]",Qilalista41,
"(8, 12]",Qilanrion65,
"(8, 12]",Qilatista90,
"(8, 12]",Qilunan34,
"(8, 12]",Quaecjask96,4.4
"(8, 12]",Quanenrian83,
"(8, 12]",Quanrion96,
"(8, 12]",Quanunwen42,
"(8, 12]",Quaranmol58,
"(8, 12]",Quarrion42,
"(8, 12]",Quilassa66,
"(8, 12]",Quinarap53,
"(8, 12]",Raesty92,8.73
"(8, 12]",Raillydeu47,
"(8, 12]",Rairin89,
"(8, 12]",Rairith81,
"(8, 12]",Raisty38,
"(8, 12]",Rarallo90,
"(8, 12]",Rastynusuir31,
"(8, 12]",Raysistast71,
"(8, 12]",Reulae52,4.18
"(8, 12]",Reunasu60,
"(8, 12]",Rianistast50,
"(8, 12]",Rilaera56,
"(8, 12]",Ririp86,
"(8, 12]",Risty84,
"(8, 12]",Ristydru66,
"(8, 12]",Rithe53,
"(8, 12]",Ryanara76,
"(8, 12]",Saedaiphos46,
"(8, 12]",Saelaephos52,
"(8, 12]",Saena74,
"(8, 12]",Saena89,
"(8, 12]",Saerallora71,
"(8, 12]",Saesrideu94,
"(8, 12]",Saida58,
"(8, 12]",Saisrilis27,
"(8, 12]",Saistyphos30,
"(8, 12]",Salilis27,
"(8, 12]",Sally64,
"(8, 12]",Sastydeu50,
"(8, 12]",Sausosia74,
"(8, 12]",Seolollo93,
"(8, 12]",Seosrim97,
"(8, 12]",Seudaillorap38,
"(8, 12]",Seuthep89,
"(8, 12]",Shaidanu32,
"(8, 12]",Shidai42,
"(8, 12]",Siala43,
"(8, 12]",Siallylis44,
"(8, 12]",Siana77,1.97
"(8, 12]",Siarithria38,
"(8, 12]",Sida61,
"(8, 12]",Sidap51,4.24
"(8, 12]",Silaera56,
"(8, 12]",Siralsudeu54,
"(8, 12]",Sisur91,
"(8, 12]",Smaistysu35,
"(8, 12]",Sondadar26,6.470000000000001
"(8, 12]",Sondadarya58,
"(8, 12]",Sondassan80,
"(8, 12]",Sondassasya91,
"(8, 12]",Sondastsda82,
"(8, 12]",Sondilsaya62,
"(8, 12]",Sondim68,
"(8, 12]",Sondim73,
"(8, 12]",Sondimla25,
"(8, 12]",Sondistanya61,
"(8, 12]",Sondossa69,
"(8, 12]",Strithenu87,
"(8, 12]",Styaduen40,
"(8, 12]",Sundadar27,
"(8, 12]",Sundadarla27,
"(8, 12]",Sundassa93,
"(8, 12]",Sundim98,
"(8, 12]",Sundirrala66,
"(8, 12]",Sundista37,
"(8, 12]",Sundjask71,
"(8, 12]",Syally44,
"(8, 12]",Syalollorap93,
"(8, 12]",Syathe73,
"(8, 12]",Syathecal44,
"(8, 12]",Taeduenu92,
"(8, 12]",Thourdirra92,
"(8, 12]",Thrientossa55,
"(8, 12]",Thryallym62,
"(8, 12]",Tyaedainu44,
"(8, 12]",Tyaelaelis94,
"(8, 12]",Tyaelistidru84,
"(8, 12]",Tyaelly53,
"(8, 12]",Tyaelo67,
"(8, 12]",Tyaelorap29,
"(8, 12]",Tyaenasti87,
"(8, 12]",Tyaerith73,
"(8, 12]",Tyalaesu89,
"(8, 12]",Tyananurgue44,
"(8, 12]",Tyarithn67,
"(8, 12]",Tyeoralru41,
"(8, 12]",Tyeosri53,
"(8, 12]",Tyeudariasuir90,
"(8, 12]",Tyeuduen32,
"(8, 12]",Tyeurith29,
"(8, 12]",Tyialisti80,
"(8, 12]",Tyialisudeu65,
"(8, 12]",Tyida79,
"(8, 12]",Tyidaim51,
"(8, 12]",Tyidainu31,
"(8, 12]",Tyirinu79,
"(8, 12]",Tyisur83,
"(8, 12]",Umolrian85,
"(8, 12]",Undare39,
"(8, 12]",Undassa89,
"(8, 12]",Undilsan50,
"(8, 12]",Undimsya85,
"(8, 12]",Undirra73,
"(8, 12]",Undirrala66,
"(8, 12]",Undirrasta89,
"(8, 12]",Undista85,
"(8, 12]",Undjask33,
"(8, 12]",Undjaskla97,
"(8, 12]",Undosia27,
"(8, 12]",Undosian34,
"(8, 12]",Undotesta33,
"(8, 12]",Wailin72,
"(8, 12]",Yadacal26,
"(8, 12]",Yadaisuir65,
"(8, 12]",Yadam35,
"(8, 12]",Yadanu52,
"(8, 12]",Yadaphos40,
"(8, 12]",Yalae81,
"(8, 12]",Yalaeria91,
"(8, 12]",Yaliru88,
"(8, 12]",Yalo85,
"(8, 12]",Yalostiphos68,
"(8, 12]",Yana46,
"(8, 12]",Yarithllodeu72,
"(8, 12]",Yarithrgue83,
"(8, 12]",Yarithrin84,
"(8, 12]",Yarithsurgue62,
"(8, 12]",Yarolwen77,
"(8, 12]",Yasrisu92,
"(8, 12]",Yastyriaphos75,
"(8, 12]",Yasur35,
"(8, 12]",Yasur85,
"(8, 12]",Yathecal72,
"(8, 12]",Yathecal82,
"(8, 12]",Yathedeu43,
"(8, 12]",Yoishirrala98,
"(8, 12]",Zhisrisu83,7.89
"(8, 12]",Zontibe81,
"(12, 16]",Adairialis76,2.28
"(12, 16]",Adastirin33,
"(12, 16]",Aeda94,
"(12, 16]",Aela59,
"(12, 16]",Aelaria33,
"(12, 16]",Aelastirin39,
"(12, 16]",Aelidru27,
"(12, 16]",Aelin32,
"(12, 16]",Aelly27,
"(12, 16]",Aellynun67,
"(12, 16]",Aellyria80,
"(12, 16]",Aelollo59,
"(12, 16]",Aenarap34,
"(12, 16]",Aeral43,
"(12, 16]",Aeral68,
"(12, 16]",Aeral97,
"(12, 16]",Aeralria27,
"(12, 16]",Aeralstical35,
"(12, 16]",Aeri84,
"(12, 16]",Aerillorin70,3.33
"(12, 16]",Aerithllora36,
"(12, 16]",Aerithnucal56,4.4
"(12, 16]",Aerithnuphos61,
"(12, 16]",Aerithriaphos45,
"(12, 16]",Aerithriaphos46,2.18
"(12, 16]",Aesri53,
"(12, 16]",Aesty53,
"(12, 16]",Aestysu37,
"(12, 16]",Aesur96,
"(12, 16]",Aesurstilis64,
"(12, 16]",Aethedru70,
"(12, 16]",Aidai53,
"(12, 16]",Aidai61,
"(12, 16]",Aidai73,
"(12, 16]",Aidaillodeu39,
"(12, 16]",Aidain51,
"(12, 16]",Aidaira26,
"(12, 16]",Aiduecal76,
"(12, 16]",Aiduesu86,
"(12, 16]",Aillyriadru65,
"(12, 16]",Aillyrin83,
"(12, 16]",Aina42,
"(12, 16]",Aina43,
"(12, 16]",Airi27,
"(12, 16]",Aisur51,
"(12, 16]",Aisurdru79,
"(12, 16]",Aisurria69,
"(12, 16]",Aithelis62,
"(12, 16]",Alaephos75,
"(12, 16]",Alaesu77,
"(12, 16]",Alaesu91,
"(12, 16]",Alarap40,
"(12, 16]",Ali84,
"(12, 16]",Alim85,
"(12, 16]",Alo38,
"(12, 16]",Anallorgue57,
"(12, 16]",Ardcil81,
"(12, 16]",Ardonmol96,
"(12, 16]",Arin32,
"(12, 16]",Arirgue63,
"(12, 16]",Assassa81,
"(12, 16]",Assassasta79,
"(12, 16]",Assastnya25,
"(12, 16]",Assehoan67,
"(12, 16]",Assesi91,
"(12, 16]",Assilsan72,
"(12, 16]",Assim27,
"(12, 16]",Assirra56,
"(12, 16]",Assistasda42,
"(12, 16]",Assistasda90,
"(12, 16]",Assjaskan56,
"(12, 16]",Assjaskan73,
"(12, 16]",Assosia88,
"(12, 16]",Assylla81,
"(12, 16]",Asty82,
"(12, 16]",Asur53,
"(12, 16]",Asur96,
"(12, 16]",Baelollodeu94,
"(12, 16]",Bartassaya73,
"(12, 16]",Caesrinusuir82,
"(12, 16]",Ceoral34,
"(12, 16]",Chadadarla74,
"(12, 16]",Chadilsasta32,
"(12, 16]",Chadirra90,
"(12, 16]",Chadista79,
"(12, 16]",Chadistaya75,
"(12, 16]",Chadjask77,
"(12, 16]",Chadjask85,
"(12, 16]",Chadolyla44,
"(12, 16]",Chadossa56,
"(12, 16]",Chadossa89,
"(12, 16]",Chamadar79,3.14
"(12, 16]",Chamadarnya73,
"(12, 16]",Chamadarsda63,
"(12, 16]",Chamalo71,
"(12, 16]",Chamassasya86,
"(12, 16]",Chamast86,
"(12, 16]",Chamastya76,
"(12, 16]",Chamilsala65,
"(12, 16]",Chamiman85,
"(12, 16]",Chamimla73,
"(12, 16]",Chamimla85,6.300000000000001
"(12, 16]",Chamirra53,
"(12, 16]",Chamirrasya33,
"(12, 16]",Chamirraya83,
"(12, 16]",Chamistast30,
"(12, 16]",Chamjask73,
"(12, 16]",Chamjaskya75,2.84
"(12, 16]",Chamossa77,
"(12, 16]",Chanadar44,
"(12, 16]",Chanastnya43,
"(12, 16]",Chanastsda67,
"(12, 16]",Chanastst38,
"(12, 16]",Chanastya70,
"(12, 16]",Chanilsasda38,2.52
"(12, 16]",Chanilsast61,
"(12, 16]",Chanirra64,
"(12, 16]",Chanirra79,
"(12, 16]",Chanirrala39,
"(12, 16]",Chanirrasta87,4.94
"(12, 16]",Chanista95,
"(12, 16]",Chanjask65,
"(12, 16]",Chanjaskan89,
"(12, 16]",Chanosia34,
"(12, 16]",Chanosia60,
"(12, 16]",Chanosian48,
"(12, 16]",Chanosiaya39,
"(12, 16]",Chanossanya44,
"(12, 16]",Chanossast57,
"(12, 16]",Chanuchi25,
"(12, 16]",Cosadar58,
"(12, 16]",Dyally87,
"(12, 16]",Ealiril69,
"(12, 16]",Ealrion88,
"(12, 16]",Ennalmol65,
"(12, 16]",Ennoncil86,
"(12, 16]",Ennrian78,
"(12, 16]",Eodailis27,
"(12, 16]",Eodairu79,
"(12, 16]",Eodaisu60,3.94
"(12, 16]",Eolan54,
"(12, 16]",Eoral49,4.35
"(12, 16]",Eoralrap26,
"(12, 16]",Eosrirgue62,
"(12, 16]",Eosurdru76,
"(12, 16]",Eratiel90,
"(12, 16]",Ermol76,
"(12, 16]",Errian63,
"(12, 16]",Eryon48,1.1
"(12, 16]",Ethralista69,2.22
"(12, 16]",Ethrasyon38,
"(12, 16]",Ethriel85,
"(12, 16]",Ethron58,
"(12, 16]",Eudanu32,2.85
"(12, 16]",Eudanu84,
"(12, 16]",Eulae84,
"(12, 16]",Eulaestira36,
"(12, 16]",Eulanurin88,
"(12, 16]",Eulasuir89,
"(12, 16]",Eulolis41,
"(12, 16]",Eurisuru25,
"(12, 16]",Eurithphos97,
"(12, 16]",Eusri26,
"(12, 16]",Eusri44,
"(12, 16]",Eusri70,
"(12, 16]",Eustyria89,
"(12, 16]",Eusur90,
"(12, 16]",Eusurdeu49,
"(12, 16]",Euthe35,
"(12, 16]",Eyircil84,
"(12, 16]",Eyista89,
"(12, 16]",Eyrian71,
"(12, 16]",Farrian71,
"(12, 16]",Farusrian86,
"(12, 16]",Filrion59,
"(12, 16]",Filrion83,
"(12, 16]",Filurarn35,
"(12, 16]",Firan91,
"(12, 16]",Firatan58,
"(12, 16]",Firon67,
"(12, 16]",Fironon91,
"(12, 16]",Frichadar89,
"(12, 16]",Frichadaran88,
"(12, 16]",Frichast28,
"(12, 16]",Frichaststa61,
"(12, 16]",Frichaya88,
"(12, 16]",Frichilsa31,1.44
"(12, 16]",Frichim77,
"(12, 16]",Frichirranya75,
"(12, 16]",Frichjask31,
"(12, 16]",Frichjaskan98,
"(12, 16]",Frichocesta66,
"(12, 16]",Frichosia58,4.43
"(12, 16]",Frichosiala98,
"(12, 16]",Frichossala54,
"(12, 16]",Frichynde86,1.63
"(12, 16]",Hada39,
"(12, 16]",Haedairiadru51,
"(12, 16]",Haeladil46,
"(12, 16]",Haellysu29,
"(12, 16]",Haerith37,
"(12, 16]",Haerithp41,4.4
"(12, 16]",Haestyphos66,
"(12, 16]",Hailaphos89,
"(12, 16]",Haillyrgue51,
"(12, 16]",Haisrisuir60,
"(12, 16]",Haisurra41,
"(12, 16]",Hala31,
"(12, 16]",Halaecal66,
"(12, 16]",Hallysucal81,
"(12, 16]",Hari50,
"(12, 16]",Hariphos58,
"(12, 16]",Heollyra92,
"(12, 16]",Heollyriap59,
"(12, 16]",Heosurnuru52,4.46
"(12, 16]",Heudai45,
"(12, 16]",Heuli25,
"(12, 16]",Heunadil74,
"(12, 16]",Hiaral50,4.19
"(12, 16]",Hiarideu73,
"(12, 16]",Hiasri33,
"(12, 16]",Hiasurria41,
"(12, 16]",Hilaerin92,
"(12, 16]",Hiral75,
"(12, 16]",Hirirap39,
"(12, 16]",Hisridru55,
"(12, 16]",Hyaduesu61,
"(12, 16]",Iadueria43,
"(12, 16]",Ialallo29,11.84
"(12, 16]",Ialidru40,
"(12, 16]",Iana95,
"(12, 16]",Iarallo65,
"(12, 16]",Iaralrgue74,
"(12, 16]",Iaralsuir44,
"(12, 16]",Iarilis73,
"(12, 16]",Iasrira89,
"(12, 16]",Iasur80,
"(12, 16]",Iasurriacal29,
"(12, 16]",Iasursti71,
"(12, 16]",Iathem87,
"(12, 16]",Iathenudil29,
"(12, 16]",Idacal95,
"(12, 16]",Idai61,
"(12, 16]",Idaidil28,7.59
"(12, 16]",Idairin51,
"(12, 16]",Idaisuir85,
"(12, 16]",Idastidru52,
"(12, 16]",Iduelis31,
"(12, 16]",Iduenu77,
"(12, 16]",Ilaesudil92,
"(12, 16]",Ilarin91,
"(12, 16]",Ilassa51,
"(12, 16]",Ilassast39,
"(12, 16]",Ilast79,
"(12, 16]",Ilastilis78,
"(12, 16]",Ili43,
"(12, 16]",Ililsan66,
"(12, 16]",Ililsasya43,
"(12, 16]",Ilimya66,
"(12, 16]",Ilirrasda54,
"(12, 16]",Ilista82,
"(12, 16]",Iljask75,
"(12, 16]",Ilmol66,
"(12, 16]",Ilosia37,
"(12, 16]",Ilosian36,4.58
"(12, 16]",Ilosianya35,
"(12, 16]",Ilunyon70,
"(12, 16]",Ina92,
"(12, 16]",Inasti31,
"(12, 16]",Inasuir29,
"(12, 16]",Indcil77,
"(12, 16]",Indirrian56,
"(12, 16]",Indonmol95,3.3
"(12, 16]",Ingatcil75,
"(12, 16]",Inguron55,
"(12, 16]",Iral74,
"(12, 16]",Iri67,
"(12, 16]",Irilis75,
"(12, 16]",Irillo49,
"(12, 16]",Irith83,
"(12, 16]",Irithlis29,
"(12, 16]",Iskadarya95,
"(12, 16]",Iskichinya81,
"(12, 16]",Iskim66,3.46
"(12, 16]",Iskim96,1.33
"(12, 16]",Iskirra45,
"(12, 16]",Iskjaskst81,
"(12, 16]",Iskosia90,
"(12, 16]",Iskosian40,3.07
"(12, 16]",Iskossasda43,4.35
"(12, 16]",Isri34,
"(12, 16]",Isty55,
"(12, 16]",Isurria36,
"(12, 16]",Isursti83,
"(12, 16]",Isursuir31,
"(12, 16]",Ithergue48,
"(12, 16]",Itheria73,
"(12, 16]",Jeyciman68,
"(12, 16]",Jiskadarst60,4.4
"(12, 16]",Jiskassa76,
"(12, 16]",Jiskimsda56,
"(12, 16]",Jiskimya77,
"(12, 16]",Jiskirran77,
"(12, 16]",Jiskjask60,
"(12, 16]",Jiskjask80,
"(12, 16]",Jiskjask85,
"(12, 16]",Jiskossa61,
"(12, 16]",Laedallo55,
"(12, 16]",Lalossa38,
"(12, 16]",Lamil79,
"(12, 16]",Lassadarsda57,
"(12, 16]",Lassassasda30,
"(12, 16]",Lassassast73,4.65
"(12, 16]",Lassilsala30,
"(12, 16]",Lassimla92,
"(12, 16]",Lassirrasda85,
"(12, 16]",Lassjask63,
"(12, 16]",Lassjaskan73,
"(12, 16]",Layjask75,
"(12, 16]",Leetirraya83,
"(12, 16]",Leyirra83,
"(12, 16]",Liawista80,
"(12, 16]",Lirtassa52,1.09
"(12, 16]",Lirtassan78,3.27
"(12, 16]",Lirtastan49,
"(12, 16]",Lirtastsda29,6.84
"(12, 16]",Lirtastsya71,
"(12, 16]",Lirtilsa71,
"(12, 16]",Lirtilsa72,
"(12, 16]",Lirtim36,1.33
"(12, 16]",Lirtimst73,
"(12, 16]",Lirtirra37,
"(12, 16]",Lirtirra81,
"(12, 16]",Lirtistanya48,
"(12, 16]",Lirtosia63,
"(12, 16]",Lirtossa60,
"(12, 16]",Lirtossa84,
"(12, 16]",Lisadar44,
"(12, 16]",Lisasi93,3.4800000000000004
"(12, 16]",Lisassa64,
"(12, 16]",Lisassala98,2.92
"(12, 16]",Lisassasda39,
"(12, 16]",Lisassasta50,
"(12, 16]",Lisast87,
"(12, 16]",Lisast98,
"(12, 16]",Lisico81,
"(12, 16]",Lisilsa62,
"(12, 16]",Lisim51,
"(12, 16]",Lisim78,
"(12, 16]",Lisiriya82,
"(12, 16]",Lisirra25,
"(12, 16]",Lisirra58,
"(12, 16]",Lisirra87,
"(12, 16]",Lisista27,3.47
"(12, 16]",Lisista54,
"(12, 16]",Lisista63,
"(12, 16]",Lisjaskan36,
"(12, 16]",Lisjaskya84,
"(12, 16]",Lisopela58,
"(12, 16]",Lisosia66,
"(12, 16]",Lisosia93,
"(12, 16]",Lisossa25,
"(12, 16]",Lisossa46,
"(12, 16]",Lisossala30,
"(12, 16]",Lisossanya98,
"(12, 16]",Lisotesta51,1.94
"(12, 16]",Lisovynya38,
"(12, 16]",Malarrian73,
"(12, 16]",Malil90,
"(12, 16]",Malon70,
"(12, 16]",Maluncil97,
"(12, 16]",Malunil62,
"(12, 16]",Maradaran90,
"(12, 16]",Maradarnya40,
"(12, 16]",Marassa62,
"(12, 16]",Marast30,
"(12, 16]",Maridisya31,
"(12, 16]",Marilsa69,
"(12, 16]",Marilsanya48,
"(12, 16]",Marilsasya33,
"(12, 16]",Marim28,
"(12, 16]",Marirrasta50,4.66
"(12, 16]",Marjask87,
"(12, 16]",Marokian45,
"(12, 16]",Maropast28,
"(12, 16]",Marughi89,
"(12, 16]",Marundi65,
"(12, 16]",Marynde90,
"(12, 16]",Meosridil82,
"(12, 16]",Mindadaran26,3.75
"(12, 16]",Mindesi74,
"(12, 16]",Mindetosya30,
"(12, 16]",Mindilsa34,
"(12, 16]",Mindilsa60,
"(12, 16]",Mindimnya67,
"(12, 16]",Mindirranya33,
"(12, 16]",Mindista32,
"(12, 16]",Mindjasksya61,
"(12, 16]",Mindossa76,
"(12, 16]",Minduli80,
"(12, 16]",Minduri31,
"(12, 16]",Nitherian58,
"(12, 16]",Palatyon26,
"(12, 16]",Palyon91,
"(12, 16]",Peorith44,
"(12, 16]",Phaedasurap84,
"(12, 16]",Phaedue89,
"(12, 16]",Phaelap26,
"(12, 16]",Phaena87,
"(12, 16]",Phaestycal84,
"(12, 16]",Pheodai94,
"(12, 16]",Pheodaisun84,
"(12, 16]",Pheosrinudeu70,
"(12, 16]",Pheosurllorin41,
"(12, 16]",Pheulidil31,
"(12, 16]",Pheusrical25,
"(12, 16]",Pheutherin27,
"(12, 16]",Phiallylis33,
"(12, 16]",Phiarithdeu40,
"(12, 16]",Philodil43,
"(12, 16]",Phiristi62,
"(12, 16]",Phistym51,
"(12, 16]",Phistyn52,
"(12, 16]",Phyali88,10.3
"(12, 16]",Poshilsa82,4.86
"(12, 16]",Qarirwen82,
"(12, 16]",Qilalista41,
"(12, 16]",Qilanrion65,
"(12, 16]",Qilatista90,
"(12, 16]",Qilunan34,
"(12, 16]",Quaecjask96,
"(12, 16]",Quanenrian83,2.27
"(12, 16]",Quanrion96,
"(12, 16]",Quanunwen42,
"(12, 16]",Quaranmol58,
"(12, 16]",Quarrion42,
"(12, 16]",Quilassa66,
"(12, 16]",Quinarap53,7.07
"(12, 16]",Raesty92,
"(12, 16]",Raillydeu47,1.97
"(12, 16]",Rairin89,
"(12, 16]",Rairith81,2.22
"(12, 16]",Raisty38,3.27
"(12, 16]",Rarallo90,
"(12, 16]",Rastynusuir31,
"(12, 16]",Raysistast71,
"(12, 16]",Reulae52,
"(12, 16]",Reunasu60,
"(12, 16]",Rianistast50,
"(12, 16]",Rilaera56,
"(12, 16]",Ririp86,
"(12, 16]",Risty84,
"(12, 16]",Ristydru66,
"(12, 16]",Rithe53,3.39
"(12, 16]",Ryanara76,
"(12, 16]",Saedaiphos46,
"(12, 16]",Saelaephos52,
"(12, 16]",Saena74,
"(12, 16]",Saena89,
"(12, 16]",Saerallora71,
"(12, 16]",Saesrideu94,
"(12, 16]",Saida58,1.03
"(12, 16]",Saisrilis27,1.75
"(12, 16]",Saistyphos30,
"(12, 16]",Salilis27,
"(12, 16]",Sally64,
"(12, 16]",Sastydeu50,
"(12, 16]",Sausosia74,
"(12, 16]",Seolollo93,
"(12, 16]",Seosrim97,
"(12, 16]",Seudaillorap38,
"(12, 16]",Seuthep89,
"(12, 16]",Shaidanu32,
"(12, 16]",Shidai42,
"(12, 16]",Siala43,
"(12, 16]",Siallylis44,
"(12, 16]",Siana77,
"(12, 16]",Siarithria38,
"(12, 16]",Sida61,
"(12, 16]",Sidap51,
"(12, 16]",Silaera56,
"(12, 16]",Siralsudeu54,
"(12, 16]",Sisur91,
"(12, 16]",Smaistysu35,
"(12, 16]",Sondadar26,
"(12, 16]",Sondadarya58,
"(12, 16]",Sondassan80,
"(12, 16]",Sondassasya91,
"(12, 16]",Sondastsda82,
"(12, 16]",Sondilsaya62,
"(12, 16]",Sondim68,
"(12, 16]",Sondim73,
"(12, 16]",Sondimla25,
"(12, 16]",Sondistanya61,
"(12, 16]",Sondossa69,
"(12, 16]",Strithenu87,
"(12, 16]",Styaduen40,
"(12, 16]",Sundadar27,
"(12, 16]",Sundadarla27,
"(12, 16]",Sundassa93,2.45
"(12, 16]",Sundim98,
"(12, 16]",Sundirrala66,
"(12, 16]",Sundista37,
"(12, 16]",Sundjask71,
"(12, 16]",Syally44,
"(12, 16]",Syalollorap93,
"(12, 16]",Syathe73,
"(12, 16]",Syathecal44,2.42
"(12, 16]",Taeduenu92,
"(12, 16]",Thourdirra92,
"(12, 16]",Thrientossa55,
"(12, 16]",Thryallym62,
"(12, 16]",Tyaedainu44,
"(12, 16]",Tyaelaelis94,
"(12, 16]",Tyaelistidru84,
"(12, 16]",Tyaelly53,
"(12, 16]",Tyaelo67,
"(12, 16]",Tyaelorap29,
"(12, 16]",Tyaenasti87,
"(12, 16]",Tyaerith73,
"(12, 16]",Tyalaesu89,
"(12, 16]",Tyananurgue44,
"(12, 16]",Tyarithn67,
"(12, 16]",Tyeoralru41,2.94
"(12, 16]",Tyeosri53,
"(12, 16]",Tyeudariasuir90,
"(12, 16]",Tyeuduen32,
"(12, 16]",Tyeurith29,
"(12, 16]",Tyialisti80,
"(12, 16]",Tyialisudeu65,
"(12, 16]",Tyida79,
"(12, 16]",Tyidaim51,11.83
"(12, 16]",Tyidainu31,
"(12, 16]",Tyirinu79,
"(12, 16]",Tyisur83,
"(12, 16]",Umolrian85,
"(12, 16]",Undare39,
"(12, 16]",Undassa89,
"(12, 16]",Undilsan50,
"(12, 16]",Undimsya85,
"(12, 16]",Undirra73,
"(12, 16]",Undirrala66,
"(12, 16]",Undirrasta89,
"(12, 16]",Undista85,
"(12, 16]",Undjask33,
"(12, 16]",Undjaskla97,
"(12, 16]",Undosia27,
"(12, 16]",Undosian34,
"(12, 16]",Undotesta33,
"(12, 16]",Wailin72,
"(12, 16]",Yadacal26,6.54
"(12, 16]",Yadaisuir65,
"(12, 16]",Yadam35,
"(12, 16]",Yadanu52,
"(12, 16]",Yadaphos40,
"(12, 16]",Yalae81,
"(12, 16]",Yalaeria91,
"(12, 16]",Yaliru88,
"(12, 16]",Yalo85,
